panel_comparison,method,knn_mean_jaccard,procrustes_disparity
400 vs 500,log1pPF,0.6226088352278891,0.0569986006907594
400 vs 500,PFlog1pPF,0.6644507332159382,0.0228243347758009
400 vs 750,log1pPF,0.5375111950417253,0.085141228996412
400 vs 750,PFlog1pPF,0.5853913544346391,0.0376319637363991
500 vs 1000,log1pPF,0.5422120332685061,0.0684330799188574
500 vs 1000,PFlog1pPF,0.5840873257368929,0.0555550316865496
750 vs 1000,log1pPF,0.6773561008841994,0.0211733856804688
750 vs 1000,PFlog1pPF,0.7563348831188444,0.0090946545022833
2000 vs 3000,log1pPF,0.7304799767704698,0.0109602966062905
2000 vs 3000,PFlog1pPF,0.7762417761285086,0.0091036180717929
