"method","seed","score"
"raw counts",1,0.527019264757865
"Seurat ""CLR""",1,0.559885707552728
"log1pPF",1,0.895641864027336
"PFlogPF (shift. CLR)",1,0.945280281607164
"raw counts",2,0.526890391186521
"Seurat ""CLR""",2,0.559804701307883
"log1pPF",2,0.895045363497113
"PFlogPF (shift. CLR)",2,0.944286114056793
"raw counts",3,0.527229144574054
"Seurat ""CLR""",3,0.55992621067515
"log1pPF",3,0.895641864027336
"PFlogPF (shift. CLR)",3,0.94565953811712
"raw counts",4,0.526857252268175
"Seurat ""CLR""",4,0.559738423471191
"log1pPF",4,0.894599829150465
"PFlogPF (shift. CLR)",4,0.944993077648168
"raw counts",5,0.527126045716979
"Seurat ""CLR""",5,0.559646370920231
"log1pPF",5,0.895851743843525
"PFlogPF (shift. CLR)",5,0.945350241545894
"raw counts",6,0.527273329798515
"Seurat ""CLR""",6,0.559690556144692
"log1pPF",6,0.894938582537999
"PFlogPF (shift. CLR)",6,0.944746376811594
"raw counts",7,0.526890391186521
"Seurat ""CLR""",7,0.560025627430187
"log1pPF",7,0.895542447272299
"PFlogPF (shift. CLR)",7,0.945442294096854
"raw counts",8,0.527004536349711
"Seurat ""CLR""",8,0.559569046777424
"log1pPF",8,0.895358342170378
"PFlogPF (shift. CLR)",8,0.945166136443973
"raw counts",9,0.526997172145634
"Seurat ""CLR""",9,0.559749469777306
"log1pPF",9,0.89567868504772
"PFlogPF (shift. CLR)",9,0.945552757158006
"raw counts",10,0.526978761635442
"Seurat ""CLR""",10,0.559657417226346
"log1pPF",10,0.89535466006834
"PFlogPF (shift. CLR)",10,0.945457022505008
"raw counts",11,0.5273101508189
"Seurat ""CLR""",11,0.559639006716154
"log1pPF",11,0.894920172027807
"PFlogPF (shift. CLR)",11,0.945118269117474
"raw counts",12,0.526986125839519
"Seurat ""CLR""",12,0.559804701307883
"log1pPF",12,0.895461441027454
"PFlogPF (shift. CLR)",12,0.945239778484741
"raw counts",13,0.527203369859786
"Seurat ""CLR""",13,0.559749469777306
"log1pPF",13,0.894927536231884
"PFlogPF (shift. CLR)",13,0.944904707199246
"raw counts",14,0.527019264757865
"Seurat ""CLR""",14,0.559554318369271
"log1pPF",14,0.895288382231648
"PFlogPF (shift. CLR)",14,0.944746376811594
"raw counts",15,0.527155502533286
"Seurat ""CLR""",15,0.559819429716036
"log1pPF",15,0.895744962884412
"PFlogPF (shift. CLR)",15,0.94535760574997
"raw counts",16,0.527291740308707
"Seurat ""CLR""",16,0.559650053022269
"log1pPF",16,0.894949628844114
"PFlogPF (shift. CLR)",16,0.944786879934017
"raw counts",17,0.527111317308825
"Seurat ""CLR""",17,0.559793655001767
"log1pPF",17,0.895148462354189
"PFlogPF (shift. CLR)",17,0.944823700954401
"raw counts",18,0.527015582655827
"Seurat ""CLR""",18,0.559789972899729
"log1pPF",18,0.895104277129728
"PFlogPF (shift. CLR)",18,0.944860521974785
"raw counts",19,0.527129727819017
"Seurat ""CLR""",19,0.559473312124426
"log1pPF",19,0.89533256745611
"PFlogPF (shift. CLR)",19,0.945239778484741
"raw counts",20,0.527162866737363
"Seurat ""CLR""",20,0.559830476022152
"log1pPF",20,0.895461441027454
"PFlogPF (shift. CLR)",20,0.945302374219394
