"method","seed","pc1_depth_R2"
"raw counts",1,0.778258074529213
"Seurat ""CLR""",1,0.86526469532427
"log1pPF",1,0.566484917266522
"PFlogPF (shift. CLR)",1,0.0140902065351502
"raw counts",2,0.778250443657483
"Seurat ""CLR""",2,0.865224179069302
"log1pPF",2,0.568592421238674
"PFlogPF (shift. CLR)",2,0.01392987105971
"raw counts",3,0.778256156701467
"Seurat ""CLR""",3,0.86527922492889
"log1pPF",3,0.568425622951873
"PFlogPF (shift. CLR)",3,0.0133727476795861
"raw counts",4,0.778265553339185
"Seurat ""CLR""",4,0.865290393349668
"log1pPF",4,0.571905548047488
"PFlogPF (shift. CLR)",4,0.0126108722387903
"raw counts",5,0.778210376877596
"Seurat ""CLR""",5,0.865233895851083
"log1pPF",5,0.572436208719373
"PFlogPF (shift. CLR)",5,0.0126583923075573
"raw counts",6,0.778239109878724
"Seurat ""CLR""",6,0.865328473679592
"log1pPF",6,0.567745877705182
"PFlogPF (shift. CLR)",6,0.014337859443065
"raw counts",7,0.77826008749307
"Seurat ""CLR""",7,0.865391924806447
"log1pPF",7,0.572641632393572
"PFlogPF (shift. CLR)",7,0.0113875583946429
"raw counts",8,0.778226159076392
"Seurat ""CLR""",8,0.865313872531055
"log1pPF",8,0.573464479846402
"PFlogPF (shift. CLR)",8,0.0122721993801937
"raw counts",9,0.778235789476076
"Seurat ""CLR""",9,0.865230651667366
"log1pPF",9,0.570507845568747
"PFlogPF (shift. CLR)",9,0.0122180682034104
"raw counts",10,0.778230413780806
"Seurat ""CLR""",10,0.86531373915677
"log1pPF",10,0.571747021424698
"PFlogPF (shift. CLR)",10,0.0128430512481855
"raw counts",11,0.778230634928513
"Seurat ""CLR""",11,0.865195113187199
"log1pPF",11,0.571907705287531
"PFlogPF (shift. CLR)",11,0.0123485402612674
"raw counts",12,0.778270702793155
"Seurat ""CLR""",12,0.865292908055871
"log1pPF",12,0.570691961864518
"PFlogPF (shift. CLR)",12,0.012586070556456
"raw counts",13,0.778277102415533
"Seurat ""CLR""",13,0.865249454957589
"log1pPF",13,0.571162982375526
"PFlogPF (shift. CLR)",13,0.0135357456735601
"raw counts",14,0.77827518827112
"Seurat ""CLR""",14,0.865263410459274
"log1pPF",14,0.569082428374531
"PFlogPF (shift. CLR)",14,0.0140749682235713
"raw counts",15,0.778237573977952
"Seurat ""CLR""",15,0.865234330524611
"log1pPF",15,0.569418811807294
"PFlogPF (shift. CLR)",15,0.0134823690222802
"raw counts",16,0.778182321272509
"Seurat ""CLR""",16,0.865275238841217
"log1pPF",16,0.571382424890377
"PFlogPF (shift. CLR)",16,0.0137752538789019
"raw counts",17,0.778281026598475
"Seurat ""CLR""",17,0.865164054515605
"log1pPF",17,0.569930433653274
"PFlogPF (shift. CLR)",17,0.0133889071839249
"raw counts",18,0.778257899759036
"Seurat ""CLR""",18,0.865232883801211
"log1pPF",18,0.568892560770399
"PFlogPF (shift. CLR)",18,0.0136210230183069
"raw counts",19,0.778246894087641
"Seurat ""CLR""",19,0.865192955539456
"log1pPF",19,0.568465870706853
"PFlogPF (shift. CLR)",19,0.0130005811149593
"raw counts",20,0.778241947769334
"Seurat ""CLR""",20,0.865304092078429
"log1pPF",20,0.567560045971051
"PFlogPF (shift. CLR)",20,0.0132445383012332
