method	pseudocount	r2
logPF	0.10110369166666666	0.8687961713979836
PFlog	0.10110369166666666	0.8563271312821783
logPF	0.11156631294026914	0.8712457471687127
PFlog	0.11156631294026914	0.8578022114007706
logPF	0.12311164882211505	0.8736700756005086
PFlog	0.12311164882211505	0.8592652265435419
logPF	0.13585174302402844	0.8760658207075938
PFlog	0.13585174302402844	0.8607149026187667
logPF	0.14991023399689363	0.8784294608205138
PFlog	0.14991023399689363	0.8621498315191768
logPF	0.16542355480141707	0.8807572962007229
PFlog	0.16542355480141707	0.8635684651325142
logPF	0.18254225714639657	0.8830454603521266
PFlog	0.18254225714639657	0.8649691112336356
logPF	0.20143247244385618	0.8852899352025143
PFlog	0.20143247244385618	0.8663499315730246
logPF	0.22227752406010956	0.8874865701316778
PFlog	0.22227752406010956	0.8677089423604571
logPF	0.24527970640912194	0.8896311045669592
PFlog	0.24527970640912194	0.8690440171724978
logPF	0.27066224815368944	0.8917191935538773
PFlog	0.27066224815368944	0.8703528920843898
logPF	0.29867147856666265	0.8937464353508631
PFlog	0.29867147856666265	0.8716331725468944
logPF	0.32957921807604135	0.8957083997107123
PFlog	0.32957921807604135	0.8728823412091337
logPF	0.36368541619339984	0.8976006551236104
PFlog	0.36368541619339984	0.8740977655488175
logPF	0.40132106242587623	0.8994187929430324
PFlog	0.40132106242587623	0.8752767038384994
logPF	0.44285139842117466	0.9011584460304083
PFlog	0.44285139842117466	0.8764163076859699
logPF	0.48867946251839883	0.9028152993816169
PFlog	0.48867946251839883	0.877513619173103
logPF	0.5392500011034237	0.9043850901668551
PFlog	0.5392500011034237	0.8785655605149175
logPF	0.5950537847272315	0.9058635947552466
PFlog	0.5950537847272315	0.8795689141990853
logPF	0.6566323708737295	0.9072466006158623
PFlog	0.6566323708737295	0.8805202917630688
logPF	0.7245833595981556	0.9085298614845609
PFlog	0.7245833595981556	0.8814160897219988
logPF	0.799566193040324	0.9097090348369354
PFlog	0.799566193040324	0.8822524316681359
logPF	0.8088295333333333	0.9098399631827387
PFlog	0.8088295333333333	0.8823461882947605
logPF	0.8823085550950928	0.9107796014754823
PFlog	0.8823085550950928	0.8830250961854876
logPF	0.9736134333467628	0.9117367678731518
PFlog	0.9736134333467628	0.8837294309277951
logPF	1.0	0.9119764487207602
PFlog	1.0	0.8839082379288282
logPF	1.0743669118011745	0.9125753527602658
PFlog	1.0743669118011745	0.8843602539387442
logPF	1.1855467700414208	0.9132896602462481
PFlog	1.1855467700414208	0.8849117440030102
logPF	1.308231972259171	0.9138733424829313
PFlog	1.308231972259171	0.8853773224595689
logPF	1.4436131382495563	0.9143192554756735
PFlog	1.4436131382495563	0.8857495294474077
logPF	1.593004097987197	0.9146193121114933
PFlog	1.593004097987197	0.8860198979736835
logPF	1.7578546419167598	0.9147643368047934
PFlog	1.7578546419167598	0.8861788294826779
logPF	1.9397645906954433	0.9147439263721385
PFlog	1.9397645906954433	0.8862154747812386
logPF	2.023870946699456	0.9146812181489572
PFlog	2.023870946699456	0.8861905546586418
logPF	2.1404993209296523	0.9145463218616818
PFlog	2.1404993209296523	0.8861176242561488
logPF	2.362006897578051	0.9141582961048038
PFlog	2.362006897578051	0.8858716113346323
logPF	2.60643697928538	0.9135650617481048
PFlog	2.60643697928538	0.8854622331137033
logPF	2.876161680117112	0.9127502044739134
PFlog	2.876161680117112	0.8848726920416404
logPF	3.1737985901512764	0.9116956460252629
PFlog	3.1737985901512764	0.8840845624798918
logPF	3.5022361783347575	0.9103816414969665
PFlog	3.5022361783347575	0.8830777858998556
logPF	3.864661824130502	0.9087868151068189
PFlog	3.864661824130502	0.8818306983527207
logPF	4.2645927499936	0.906888238273539
PFlog	4.2645927499936	0.8803200936505327
logPF	4.705910154865815	0.9046615532510753
PFlog	4.705910154865815	0.8785213253691595
logPF	5.1928968799429756	0.9020811447553286
PFlog	5.1928968799429756	0.8764084502719058
logPF	5.730278972249186	0.8991203609283944
PFlog	5.730278972249186	0.873954415017394
logPF	6.323271549378768	0.8957517836046794
PFlog	6.323271549378768	0.8711312870226491
logPF	6.97762941050826	0.8919475461790887
PFlog	6.97762941050826	0.8679105290939291
logPF	7.699702884841811	0.8876796954802116
PFlog	7.699702884841811	0.8642633159389337
logPF	8.496499459480876	0.8829205920003312
PFlog	8.496499459480876	0.8601608889829251
logPF	9.375751784796561	0.8776433407529978
PFlog	9.375751784796561	0.8555749441151473
logPF	10.345992717274497	0.871822243061681
PFlog	10.345992717274497	0.8504780452082584
logPF	11.416638128098613	0.8654332579011241
PFlog	11.416638128098613	0.8448440546069329
logPF	12.598078281103904	0.8584544601813697
PFlog	12.598078281103904	0.8386485704233747
logPF	13.901778666891529	0.8508664827376148
PFlog	13.901778666891529	0.8318693595395839
logPF	15.340391271668308	0.8426529288809326
PFlog	15.340391271668308	0.8244867748122531
logPF	16.927877360638288	0.8338007432383919
PFlog	16.927877360638288	0.8164841451933742
logPF	18.6796429675191	0.8243005302600185
PFlog	18.6796429675191	0.8078481283452966
logPF	20.612688405064663	0.814146812119506
PFlog	20.612688405064663	0.798569016828137
logPF	22.745773247544953	0.8033382206329801
PFlog	22.745773247544953	0.7886409909845021
logPF	25.09959838628382	0.791877621064014
PFlog	25.09959838628382	0.7780623141162673
logPF	27.697006925044363	0.7797721690194104
PFlog	27.697006925044363	0.7668354682545321
logPF	30.56320586488607	0.7670333048047364
PFlog	30.56320586488607	0.7549672315640824
logPF	33.726010729872755	0.7536766923407083
PFlog	33.726010729872755	0.7424687009681622
logPF	37.21611550764371	0.7397221118121923
PFlog	37.21611550764371	0.7293552657193716
logPF	41.0673905245331	0.7251933164563051
PFlog	41.0673905245331	0.7156465391805971
logPF	45.31721114601868	0.7101178641864228
PFlog	45.31721114601868	0.7013662568729421
logPF	50.006820492429796	0.6945269340647784
PFlog	50.006820492429796	0.6865421488096194
logPF	55.18172968995236	0.6784551360259504
PFlog	55.18172968995236	0.6712057932423013
logPF	60.892159541235706	0.6619403198442421
PFlog	60.892159541235706	0.6553924572580293
logPF	67.19352790187067	0.6450233863196946
PFlog	67.19352790187067	0.6391409273102098
logPF	74.1469874925682	0.6277481002837265
PFlog	74.1469874925682	0.6224933299432285
logPF	80.88295333333333	0.612232715686747
PFlog	80.88295333333333	0.6074999128151434
logPF	81.82001936632967	0.610160901584075
PFlog	81.82001936632967	0.6054949399391167
logPF	90.28708779001383	0.5923107070169779
PFlog	90.28708779001383	0.5881939701749513
logPF	99.63036289571258	0.5742486935472536
PFlog	99.63036289571258	0.5706413349588901
logPF	109.94051811503068	0.5560280513974665
PFlog	109.94051811503068	0.5528903768302558
logPF	121.31761013510814	0.5377036949455019
PFlog	121.31761013510814	0.5349965460592186
logPF	133.87204991607098	0.5193319200366264
PFlog	133.87204991607098	0.5170170225859431
logPF	147.72567419331818	0.500969998380769
PFlog	147.72567419331818	0.4990102720362885
logPF	163.01292786322398	0.48267570314861485
PFlog	163.01292786322398	0.481035530747618
logPF	179.88216872692144	0.46450676455006445
PFlog	179.88216872692144	0.46315221931226036
logPF	198.49710725428034	0.4465202597930583
PFlog	198.49710725428034	0.4454192897170183
logPF	219.0383953405183	0.42877194797010837
PFlog	219.0383953405183	0.4278945173144191
logPF	241.70537947380896	0.4113155665948034
PFlog	241.70537947380896	0.4106337550773826
logPF	266.7180353278049	0.39420211213429246
PFlog	266.7180353278049	0.3936901732599914
logPF	294.31910255366364	0.37747913137186
PFlog	294.31910255366364	0.37711351210564353
logPF	324.7764404890378	0.36119005324800063
PFlog	324.7764404890378	0.36094937804574084
logPF	358.38562764541325	0.34537359155220654
PFlog	358.38562764541325	0.3452386144878526
logPF	395.47283020097075	0.330063247230371
PFlog	395.47283020097075	0.3300167765573112
logPF	436.397967336756	0.315286935120135
PFlog	436.397967336756	0.31531373502181925
logPF	481.558204134714	0.3010667538582245
PFlog	481.558204134714	0.30115342834469155
logPF	531.3918059350206	0.2874189099826487
PFlog	531.3918059350206	0.28755377386110914
logPF	586.3823915579868	0.2743537985238336
PFlog	586.3823915579868	0.27452674012462674
logPF	647.0636266666666	0.26187623339226607
PFlog	647.0636266666666	0.26207857329962336
