dataset	pseudocount	shared_neighbors_with_pflog	k	pca_dim
smartSeq3_fibroblasts	0.028596327913279134	38.83468834688347	50	10
smartSeq3_fibroblasts	0.03139073934793781	38.94850948509485	50	10
smartSeq3_fibroblasts	0.03445821854464733	39.0840108401084	50	10
smartSeq3_fibroblasts	0.037825449477623736	39.21138211382114	50	10
smartSeq3_fibroblasts	0.04152172365876755	39.31707317073171	50	10
smartSeq3_fibroblasts	0.04557919494426495	39.46070460704607	50	10
smartSeq3_fibroblasts	0.05003315924069638	39.53658536585366	50	10
smartSeq3_fibroblasts	0.05492236154381363	39.696476964769644	50	10
smartSeq3_fibroblasts	0.060289332980912796	39.84281842818428	50	10
smartSeq3_fibroblasts	0.06618076078873193	40.00271002710027	50	10
smartSeq3_fibroblasts	0.07264789444530764	40.09756097560975	50	10
smartSeq3_fibroblasts	0.07974699148872819	40.205962059620596	50	10
smartSeq3_fibroblasts	0.08753980690095628	40.330623306233065	50	10
smartSeq3_fibroblasts	0.09609413031386725	40.44444444444444	50	10
smartSeq3_fibroblasts	0.10548437571065326	40.577235772357724	50	10
smartSeq3_fibroblasts	0.11579222875239999	40.6910569105691	50	10
smartSeq3_fibroblasts	0.12710735736092543	40.85094850948509	50	10
smartSeq3_fibroblasts	0.13952819173923312	41.03523035230352	50	10
smartSeq3_fibroblasts	0.15316278061497146	41.21680216802168	50	10
smartSeq3_fibroblasts	0.16812973115535346	41.53387533875339	50	10
smartSeq3_fibroblasts	0.18455924072984814	42.4579945799458	50	10
smartSeq3_fibroblasts	0.202594229495938	43.52845528455285	50	10
smartSeq3_fibroblasts	0.22239158366029632	43.81571815718157	50	10
smartSeq3_fibroblasts	0.22877062330623305	43.86720867208672	50	10
smartSeq3_fibroblasts	0.244123520230502	44.02168021680217	50	10
smartSeq3_fibroblasts	0.2679790851292546	44.22222222222222	50	10
smartSeq3_fibroblasts	0.29416579770317297	44.42818428184282	50	10
smartSeq3_fibroblasts	0.322911455931743	44.65311653116531	50	10
smartSeq3_fibroblasts	0.3544661180399126	44.84552845528455	50	10
smartSeq3_fibroblasts	0.3891042777523644	45.05420054200542	50	10
smartSeq3_fibroblasts	0.4271272521119814	45.25745257452574	50	10
smartSeq3_fibroblasts	0.46886580263412053	45.447154471544714	50	10
smartSeq3_fibroblasts	0.5146830125980891	45.65582655826558	50	10
smartSeq3_fibroblasts	0.5649774455053579	45.853658536585364	50	10
