ds,alpha,ncells,ngenes,ngenes_filt,sbar,raw,PF,sqrt,log1p,log1pCP10k,log1pCPM,scalelog1pCP10k,log1pPF,PFlogPF
10xv3_hek_293t,0.14000,2378,20383,12664,33436.520,28.99616,28.99616,1.71118,0.37589,0.76442,0.85515,0.24743,0.37589,0.52866
10xv3_nih_3t3,0.24000,2458,16879,10681,16180.413,35.64386,35.64386,1.65489,0.44365,0.61709,0.79386,0.14611,0.44365,0.45670
10xv3_pbmc,0.62000,1222,14043,8881,7550.034,29.55391,29.55391,2.24643,0.67709,0.53752,0.62619,0.25361,0.67709,0.30252
CRX102285,1.76210,8991,24729,6192,2707.570,17.73427,17.73427,1.89464,1.25278,0.35387,0.47903,0.33622,1.25278,0.13249
CRX102286,16.53583,70820,27940,1831,766.744,11.20143,11.20143,2.56153,2.27329,0.32269,0.20696,0.38633,2.27329,0.07247
CRX102287,2.61000,10785,27176,7386,4109.375,17.84560,17.84560,2.86351,1.36464,0.65032,0.46111,0.24796,1.36464,0.07673
CRX102288,2.02000,12531,27800,7847,4930.433,18.54705,18.54705,2.83311,1.21731,0.66873,0.49476,0.20295,1.21731,0.10361
CRX102289,2.61000,9200,26210,7157,3513.660,17.62329,17.62329,2.64006,1.40080,0.56184,0.44759,0.25351,1.40080,0.07658
CRX102290,1.94000,7632,21976,4291,1753.690,14.56947,14.56947,1.77788,1.37797,0.21391,0.45962,0.39909,1.37797,0.12276
CRX102291,0.52000,3963,23902,8796,5946.679,16.54327,16.54327,1.30568,0.67652,0.44097,0.61805,0.29161,0.67652,0.36446
CRX102292,15.09361,85238,26994,998,453.092,12.50025,12.50025,2.40802,2.08897,0.13639,0.22983,0.50283,2.08897,0.07701
CRX102293,1.50000,12626,25857,5853,2540.724,23.18164,23.18164,1.87032,1.20030,0.30073,0.47891,0.34139,1.20030,0.16228
CRX102294,2.45000,10577,26731,7496,4126.935,24.17688,24.17688,3.19204,1.35748,0.62776,0.45254,0.24947,1.35748,0.08204
CRX118012,1.65000,14992,27545,7614,3933.411,24.55416,24.55416,2.34267,1.12035,0.48471,0.50485,0.27280,1.12035,0.13464
CRX118013,1.66000,10963,23855,7271,3788.157,25.23059,25.23059,2.46879,1.15484,0.47806,0.49894,0.26242,1.15484,0.13639
CRX118014,1.83379,16881,24987,6065,3043.166,25.44274,25.44274,2.55183,1.27183,0.41292,0.48028,0.26944,1.27183,0.12571
CRX118015,1.60000,9789,23626,7008,3744.980,19.41525,19.41525,2.28589,1.16554,0.47045,0.49913,0.29026,1.16554,0.14410
ERS3861771,0.44213,1108,24576,14985,13875.723,70.33030,70.33030,1.80473,0.58675,0.74038,0.69366,0.17210,0.58675,0.37223
ERS3861772,0.57000,850,22721,13010,11295.276,63.06711,63.06711,2.10661,0.67192,0.73539,0.65977,0.20121,0.67192,0.33342
ERS3861773,216.13000,15628,15580,587,227.098,7.78018,7.78018,1.92308,2.04434,0.19664,0.02368,0.52288,2.04434,0.01275
ERS3861774,2.02000,2075,24730,11436,21048.416,69.95212,69.95212,7.75464,1.02679,1.58956,0.48381,0.38951,1.02679,0.09993
ERS3861775,23.05000,9683,21736,2682,1005.143,17.35687,17.35687,2.74645,2.26791,0.47374,0.16041,0.40771,2.26791,0.06384
ERS3861776,268.16000,12126,19621,1552,646.005,14.39616,14.39616,3.03972,2.33763,0.48694,0.01352,0.38387,2.33763,0.01023
ERS3861777,0.55000,1322,25009,13705,11339.213,53.08193,53.08193,1.71883,0.65896,0.72315,0.66294,0.21607,0.65896,0.33840
ERS3861778,2.11000,1954,24866,11984,20580.803,72.53045,72.53045,7.58588,1.02171,1.55346,0.48163,0.45498,1.02171,0.09621
ERS3861779,3.54000,1645,22537,11576,8334.743,25.67433,25.67433,3.58468,1.32742,1.17290,0.42207,0.18905,1.32742,0.06654
ERS3861780,24.52000,10669,22792,2683,853.111,24.59106,24.59106,2.61975,2.26228,0.41209,0.15252,0.39567,2.26228,0.06095
ERS3861781,0.45000,1128,25893,14915,13543.193,70.86088,70.86088,1.79707,0.59786,0.74048,0.69363,0.17879,0.59786,0.37478
ERS3861782,6.82000,1683,17814,6075,2665.346,39.06666,39.06666,3.82332,1.78413,0.68432,0.32934,0.42450,1.78413,0.07166
ERS3861783,8.77000,4866,23106,6927,4965.761,53.85452,53.85452,6.89167,1.69628,1.08890,0.27894,0.28930,1.69628,0.08231
ERS3861784,10.64000,2959,17468,3851,1298.901,26.75020,26.75020,2.66834,2.13869,0.44252,0.25833,0.44187,2.13869,0.07275
ERS3861785,1.38000,1396,22167,11086,7518.809,39.70771,39.70771,2.57503,0.97053,0.77714,0.56329,0.25450,0.97053,0.16085
ERS3861786,5.55000,5779,27046,9291,7207.741,34.86751,34.86751,5.54917,1.57634,1.27049,0.33973,0.20667,1.57634,0.07448
ERS3861787,4.40000,13328,29353,8244,7084.945,35.70065,35.70065,4.62861,1.41553,1.13298,0.39590,0.26561,1.41553,0.07231
ERS3861788,0.74000,4079,26476,9965,13240.721,45.13083,45.13083,3.42136,0.76361,0.94297,0.64039,0.19331,0.76361,0.27561
ERS3861789,3.95000,7037,25702,8228,6544.244,59.47140,59.47140,6.24256,1.46955,1.10001,0.41121,0.23635,1.46955,0.06754
ERS3861790,1.24000,4915,27505,10644,18831.445,53.51004,53.51004,5.19613,0.86568,1.31166,0.58330,0.31209,0.86568,0.16002
ERS3861791,0.57000,850,22721,13010,11295.276,63.06711,63.06711,2.10661,0.67192,0.73539,0.65977,0.20121,0.67192,0.33342
ERS3861792,1.07000,3952,26560,10738,20307.515,58.11118,58.11118,5.53266,0.81687,1.31120,0.59818,0.31587,0.81687,0.18410
ERS3861793,38.28000,11124,19707,1245,549.264,9.63646,9.63646,2.22626,2.19200,0.32617,0.11489,0.51105,2.19200,0.05076
ERS3861794,0.24000,4954,27050,11311,10270.661,19.88887,19.88887,0.99400,0.54396,0.55403,0.67566,0.19703,0.54396,0.55941
ERS3861795,4.84000,6203,27850,9348,6653.208,46.61000,46.61000,5.86719,1.54000,1.16245,0.36523,0.20485,1.54000,0.06876
ERS3861796,1.76000,3107,29437,13128,27076.041,32.89743,32.89743,5.34685,0.93876,1.67839,0.48230,0.62176,0.93876,0.11275
ERS3861797,2.79527,10255,26492,7690,5277.751,37.26268,37.26268,4.45557,1.37739,0.83903,0.45987,0.19893,1.37739,0.07301
ERS3861798,1.23000,5399,29820,11395,19181.248,26.98452,26.98452,4.26492,0.85340,1.31517,0.58314,0.36334,0.85340,0.16386
ERS3861799,4.09000,5764,26083,9599,7593.617,54.07023,54.07023,6.69170,1.37981,1.14237,0.38896,0.23463,1.37981,0.06794
ERS3861800,0.92000,5105,25749,10115,11389.496,60.83027,60.83027,4.63009,0.78744,0.87013,0.62093,0.16051,0.78744,0.21430
ERS3861801,0.97000,6473,27749,10665,7926.947,19.48267,19.48267,2.21445,0.88332,0.72856,0.56734,0.26946,0.88332,0.22893
ERS3861802,0.92000,6286,27671,10687,7866.917,18.79827,18.79827,2.10662,0.86450,0.70846,0.57271,0.27612,0.86450,0.24068
ERS3861803,0.68000,7791,28325,10367,7519.657,19.68979,19.68979,1.79582,0.76149,0.60292,0.59261,0.21842,0.76149,0.30822
ERS3861804,3.33000,7633,27795,9097,6982.359,52.57509,52.57509,5.90929,1.41486,1.09479,0.42699,0.17346,1.41486,0.06636
ERS3861805,2.93000,8094,28129,9065,6968.655,53.18982,53.18982,5.67843,1.36153,1.04602,0.44656,0.17997,1.36153,0.07043
ERS3861806,2.93000,7970,28201,9112,7081.433,54.21042,54.21042,5.69727,1.35796,1.05686,0.44605,0.18090,1.35796,0.07037
ERS3861807,3.32000,6601,29865,10740,12501.184,38.38831,38.38831,5.27202,1.27072,1.46125,0.41486,0.36794,1.27072,0.07282
ERS3861808,3.28114,6684,27861,10328,12589.209,39.23558,39.23558,5.27769,1.25094,1.44274,0.41862,0.36389,1.25094,0.07375
ERS3861809,2.63000,6935,29016,10081,7869.289,51.71107,51.71107,4.84415,1.25720,1.05609,0.46589,0.16944,1.25720,0.07607
ERS3861810,32.52000,86769,29251,2315,1047.902,20.66824,20.66824,3.41797,2.37428,0.54089,0.12329,0.39685,2.37428,0.05448
ERS3861811,0.58000,3325,23366,7056,3629.812,34.68855,34.68855,1.21895,0.77784,0.31208,0.56559,0.33416,0.77784,0.37153
ERS3861813,1.26000,5218,12458,920,1205.605,20.06623,20.06623,7.53885,1.09654,0.11492,0.53987,0.64470,1.09654,0.20620
ERS3861814,2.06197,3805,23516,2913,1319.150,36.01139,36.01139,4.02604,1.39525,0.13796,0.42973,0.36627,1.39525,0.11644
ERS3861815,1.35000,3318,23655,9824,7151.136,28.02468,28.02468,2.77536,1.01573,0.77210,0.54707,0.21274,1.01573,0.16491
ERS3861816,0.48000,7621,28057,10523,8314.745,22.69781,22.69781,1.58369,0.66298,0.57387,0.62259,0.23066,0.66298,0.38733
ERS3861817,0.45000,7681,28500,11009,9011.686,23.10351,23.10351,1.57596,0.64533,0.59572,0.62858,0.21278,0.64533,0.40136
ERS3861818,2.88000,10515,28981,8716,5862.941,51.61075,51.61075,4.73941,1.38587,0.92106,0.44529,0.23742,1.38587,0.07036
ERS3861819,2.75000,11207,29191,8756,5896.508,52.51760,52.51760,4.67764,1.36115,0.90636,0.45207,0.23808,1.36115,0.07312
ERS3861820,3.68668,6831,27947,10923,13445.997,41.75119,41.75119,5.49049,1.25422,1.50103,0.38871,0.35471,1.25422,0.07490
ERS3861821,3.47413,7041,28004,10803,13192.484,42.16751,42.16751,5.42976,1.23831,1.46933,0.40067,0.34999,1.23831,0.07390
ERS3861822,3.14000,10285,28665,9117,6173.441,46.44448,46.44448,4.81998,1.36601,0.95424,0.43735,0.22423,1.36601,0.06627
ERS3861823,2.06000,3490,25698,9759,6929.381,36.02378,36.02378,3.67437,1.22089,0.91320,0.48812,0.15053,1.22089,0.10224
ERS3861824,4.65950,7337,23821,6200,3376.880,27.48010,27.48010,3.76714,1.77254,0.75577,0.37650,0.22690,1.77254,0.06138
ERS3861825,4.97000,8050,28362,8922,7852.728,28.90748,28.90748,4.44166,1.46004,1.25799,0.36874,0.29376,1.46004,0.07649
ERS3861826,0.99000,4495,23223,7186,4464.208,19.60787,19.60787,1.84720,0.98400,0.47459,0.55099,0.30620,0.98400,0.24501
ERS3861827,0.16000,1914,23664,11594,11901.121,18.29196,18.29196,0.84312,0.51202,0.57221,0.67614,0.21381,0.51202,0.67776
ERS3861828,0.38000,1662,21796,8244,5146.998,19.43274,19.43274,0.97658,0.67382,0.39228,0.59170,0.29414,0.67382,0.48341
ERS3861829,0.93000,6733,30170,10705,6767.892,25.87260,25.87260,1.78307,0.86231,0.62741,0.58176,0.25766,0.86231,0.24212
ERS3861831,4.77134,3530,22092,8793,8999.572,61.11099,61.11099,10.25842,1.52652,1.42674,0.35421,0.36841,1.52652,0.07300
ERS3861832,2.36000,1638,20257,9955,14171.049,66.69589,66.69589,11.60883,1.19111,1.50680,0.45184,0.42156,1.19111,0.08553
ERS3861833,12.05000,5943,24934,8382,5841.326,27.67178,27.67178,5.12351,1.88216,1.37190,0.21384,0.25596,1.88216,0.08181
ERS3861834,7.51000,5193,24954,8835,6241.603,27.03068,27.03068,4.63081,1.73961,1.29583,0.29197,0.22644,1.73961,0.08084
ERS3861835,7.15000,5360,24778,8490,5701.280,27.17505,27.17505,4.52198,1.75399,1.22382,0.30441,0.22066,1.75399,0.07904
ERS3861836,0.76909,2693,22646,9575,7704.924,59.69511,59.69511,3.43169,0.80708,0.65214,0.60163,0.20347,0.80708,0.28121
ERS3861837,2.93000,4687,24088,7558,4491.313,50.66698,50.66698,4.71980,1.44279,0.76603,0.44679,0.25365,1.44279,0.06980
ERS3861838,2.89000,6095,27134,9352,10981.510,65.34162,65.34162,7.92518,1.23239,1.31126,0.44818,0.29453,1.23239,0.07384
ERS3861839,1.25000,3245,27195,11450,19252.577,68.48117,68.48117,6.83423,0.88333,1.37524,0.56367,0.32062,0.88333,0.16469
ERS3861840,1.23000,3247,26412,11272,14603.043,58.50113,58.50113,5.43941,0.84405,1.10845,0.58878,0.20540,0.84405,0.15702
ERS3861841,7.39000,7068,28642,9291,5415.138,35.84235,35.84235,5.35962,1.76004,1.15185,0.29263,0.16694,1.76004,0.07535
ERS3861842,1.82000,8406,29477,9427,10581.508,70.69998,70.69998,7.08763,1.05214,1.09554,0.53166,0.28595,1.05214,0.11178
ERS3861843,1.47000,4089,26400,10151,8680.855,37.81838,37.81838,3.78586,0.96672,0.86542,0.54949,0.18682,0.96672,0.13701
