ds,ncells,ngenes,ngenes_filt,alpha,cv_all,cv_filt,stored
10xv3_hek_293t,2378,20383,12664,0.14000,1.74318,1.34197,1.74318
10xv3_nih_3t3,2458,16879,10681,0.24000,1.24335,1.07391,1.24335
10xv3_pbmc,1222,14043,8881,0.62000,3.53671,3.39191,3.53671
angelidis_2019,14813,16541,2577,12.48023,6.17665,4.49371,6.17665
CRX102285,8991,24729,6192,1.76210,3.51298,2.59816,3.51298
CRX102286,70820,27940,1831,16.53583,10.55277,6.88311,10.55277
CRX102287,10785,27176,7386,2.61000,5.15535,3.79490,5.15535
CRX102288,12531,27800,7847,2.02000,5.04129,3.66421,5.04129
CRX102289,9200,26210,7157,2.61000,4.98574,3.73286,4.98574
CRX102290,7632,21976,4291,1.94000,3.28997,2.50663,3.28997
CRX102291,3963,23902,8796,0.52000,3.34339,2.67255,3.34339
CRX102292,85238,26994,998,15.09361,5.09457,2.57507,5.09457
CRX102293,12626,25857,5853,1.50000,2.87784,1.97216,2.87784
CRX102294,10577,26731,7496,2.45000,4.76991,3.43858,4.76991
CRX118012,14992,27545,7614,1.65000,4.68246,3.35487,4.68246
CRX118013,10963,23855,7271,1.66000,4.16930,3.03710,4.16930
CRX118014,16881,24987,6065,1.83379,3.17633,2.16169,3.17633
CRX118015,9789,23626,7008,1.60000,4.52677,3.34546,4.52677
ERS3861771,1108,24576,14985,0.44213,1.68936,1.52763,1.68936
ERS3861772,850,22721,13010,0.57000,1.23466,1.12552,1.23466
ERS3861773,15628,15580,587,216.13000,2.27411,0.53461,2.27411
ERS3861774,2075,24730,11436,2.02000,4.76604,3.48375,4.76604
ERS3861775,9683,21736,2682,23.05000,3.27491,1.76065,3.27491
ERS3861776,12126,19621,1552,268.16000,3.18362,1.40467,3.18362
ERS3861777,1322,25009,13705,0.55000,1.77095,1.59587,1.77095
ERS3861778,1954,24866,11984,2.11000,3.34099,2.71298,3.34099
ERS3861779,1645,22537,11576,3.54000,1.57926,1.41520,1.57926
ERS3861780,10669,22792,2683,24.52000,2.20412,1.06457,2.20412
ERS3861781,1128,25893,14915,0.45000,1.67626,1.51860,1.67626
ERS3861782,1683,17814,6075,6.82000,3.22131,2.59175,3.22131
ERS3861783,4866,23106,6927,8.77000,3.10289,2.37707,3.10289
ERS3861784,2959,17468,3851,10.64000,1.85248,1.27061,1.85248
ERS3861785,1396,22167,11086,1.38000,1.33458,1.16701,1.33458
ERS3861786,5779,27046,9291,5.55000,7.13880,5.50591,7.13880
ERS3861787,13328,29353,8244,4.40000,9.44580,6.30564,9.44580
ERS3861788,4079,26476,9965,0.74000,5.80018,4.32292,5.80018
ERS3861789,7037,25702,8228,3.95000,7.06051,5.41113,7.06051
ERS3861790,4915,27505,10644,1.24000,5.73613,4.17304,5.73613
ERS3861791,850,22721,13010,0.57000,1.22827,1.12165,1.22827
ERS3861792,3952,26560,10738,1.07000,5.06742,3.74364,5.06742
ERS3861793,11124,19707,1245,38.28000,2.91303,1.23398,2.91303
ERS3861794,4954,27050,11311,0.24000,2.15414,1.76499,2.15414
